date,day_of_week,week_of_year,store,item,sales,total_sales_amount
2021-07-01,THU,26,chiba,apple_juice,52,6240
2021-07-01,THU,26,chiba,beer,37,7400
2021-07-01,THU,26,chiba,coffee,106,21200
2021-07-01,THU,26,chiba,fruit_juice,21,3150
2021-07-01,THU,26,chiba,milk,108,14040
2021-07-01,THU,26,chiba,mineral_water,111,11100
2021-07-01,THU,26,chiba,orange_juice,48,5760
2021-07-01,THU,26,chiba,soy_milk,58,6960
2021-07-01,THU,26,chiba,sparkling_water,24,2880
2021-07-01,THU,26,chiba,sports_drink,79,10270
2021-07-01,THU,26,ginza,apple_juice,96,11520
2021-07-01,THU,26,ginza,beer,51,10200
2021-07-01,THU,26,ginza,coffee,164,32800
2021-07-01,THU,26,ginza,fruit_juice,53,7950
2021-07-01,THU,26,ginza,milk,169,21970
2021-07-01,THU,26,ginza,mineral_water,194,19400
2021-07-01,THU,26,ginza,orange_juice,75,9000
2021-07-01,THU,26,ginza,soy_milk,109,13080
2021-07-01,THU,26,ginza,sparkling_water,53,6360
2021-07-01,THU,26,ginza,sports_drink,110,14300
2021-07-01,THU,26,kobe,apple_juice,79,9480
2021-07-01,THU,26,kobe,beer,38,7600
2021-07-01,THU,26,kobe,coffee,132,26400
2021-07-01,THU,26,kobe,fruit_juice,34,5100
2021-07-01,THU,26,kobe,milk,116,15080
2021-07-01,THU,26,kobe,mineral_water,129,12900
2021-07-01,THU,26,kobe,orange_juice,37,4440
2021-07-01,THU,26,kobe,soy_milk,36,4320
2021-07-01,THU,26,kobe,sparkling_water,24,2880
2021-07-01,THU,26,kobe,sports_drink,59,7670
2021-07-01,THU,26,morioka,apple_juice,36,4320
2021-07-01,THU,26,morioka,beer,22,4400
2021-07-01,THU,26,morioka,coffee,86,17200
2021-07-01,THU,26,morioka,fruit_juice,17,2550
2021-07-01,THU,26,morioka,milk,71,9230
2021-07-01,THU,26,morioka,mineral_water,92,9200
2021-07-01,THU,26,morioka,orange_juice,29,3480
2021-07-01,THU,26,morioka,soy_milk,49,5880
2021-07-01,THU,26,morioka,sparkling_water,20,2400
2021-07-01,THU,26,morioka,sports_drink,40,5200
2021-07-01,THU,26,nagoya,apple_juice,66,7920
2021-07-01,THU,26,nagoya,beer,31,6200
2021-07-01,THU,26,nagoya,coffee,111,22200
2021-07-01,THU,26,nagoya,fruit_juice,31,4650
2021-07-01,THU,26,nagoya,milk,113,14690
2021-07-01,THU,26,nagoya,mineral_water,154,15400
2021-07-01,THU,26,nagoya,orange_juice,41,4920
2021-07-01,THU,26,nagoya,soy_milk,64,7680
2021-07-01,THU,26,nagoya,sparkling_water,40,4800
