date,day_of_week,week_of_year,store,item,sales,total_sales_amount
2020-01-01,WED,1,chiba,apple_juice,23,2760
2020-01-01,WED,1,chiba,beer,11,2200
2020-01-01,WED,1,chiba,coffee,45,9000
2020-01-01,WED,1,chiba,fruit_juice,16,2400
2020-01-01,WED,1,chiba,milk,46,5980
2020-01-01,WED,1,chiba,mineral_water,70,7000
2020-01-01,WED,1,chiba,orange_juice,41,4920
2020-01-01,WED,1,chiba,soy_milk,22,2640
2020-01-01,WED,1,chiba,sparkling_water,18,2160
2020-01-01,WED,1,chiba,sports_drink,36,4680
2020-01-01,WED,1,ginza,apple_juice,45,5400
2020-01-01,WED,1,ginza,beer,33,6600
2020-01-01,WED,1,ginza,coffee,54,10800
2020-01-01,WED,1,ginza,fruit_juice,23,3450
2020-01-01,WED,1,ginza,milk,76,9880
2020-01-01,WED,1,ginza,mineral_water,111,11100
2020-01-01,WED,1,ginza,orange_juice,40,4800
2020-01-01,WED,1,ginza,soy_milk,39,4680
2020-01-01,WED,1,ginza,sparkling_water,32,3840
2020-01-01,WED,1,ginza,sports_drink,70,9100
2020-01-01,WED,1,kobe,apple_juice,32,3840
2020-01-01,WED,1,kobe,beer,31,6200
2020-01-01,WED,1,kobe,coffee,50,10000
2020-01-01,WED,1,kobe,fruit_juice,16,2400
2020-01-01,WED,1,kobe,milk,58,7540
2020-01-01,WED,1,kobe,mineral_water,91,9100
2020-01-01,WED,1,kobe,orange_juice,33,3960
2020-01-01,WED,1,kobe,soy_milk,32,3840
2020-01-01,WED,1,kobe,sparkling_water,19,2280
2020-01-01,WED,1,kobe,sports_drink,33,4290
2020-01-01,WED,1,morioka,apple_juice,18,2160
2020-01-01,WED,1,morioka,beer,16,3200
2020-01-01,WED,1,morioka,coffee,41,8200
2020-01-01,WED,1,morioka,fruit_juice,15,2250
2020-01-01,WED,1,morioka,milk,25,3250
2020-01-01,WED,1,morioka,mineral_water,42,4200
2020-01-01,WED,1,morioka,orange_juice,20,2400
2020-01-01,WED,1,morioka,soy_milk,11,1320
2020-01-01,WED,1,morioka,sparkling_water,10,1200
2020-01-01,WED,1,morioka,sports_drink,16,2080
2020-01-01,WED,1,nagoya,apple_juice,28,3360
2020-01-01,WED,1,nagoya,beer,19,3800
2020-01-01,WED,1,nagoya,coffee,43,8600
2020-01-01,WED,1,nagoya,fruit_juice,27,4050
2020-01-01,WED,1,nagoya,milk,53,6890
2020-01-01,WED,1,nagoya,mineral_water,102,10200
2020-01-01,WED,1,nagoya,orange_juice,29,3480
2020-01-01,WED,1,nagoya,soy_milk,22,2640
2020-01-01,WED,1,nagoya,sparkling_water,22,2640
2020-01-01,WED,1,nagoya,sports_drink,56,7280
2020-01-01,WED,1,osaka,apple_juice,45,5400
2020-01-01,WED,1,osaka,beer,33,6600
2020-01-01,WED,1,osaka,coffee,70,14000
2020-01-01,WED,1,osaka,fruit_juice,29,4350
2020-01-01,WED,1,osaka,milk,65,8450
2020-01-01,WED,1,osaka,mineral_water,128,12800
2020-01-01,WED,1,osaka,orange_juice,41,4920
2020-01-01,WED,1,osaka,soy_milk,26,3120
2020-01-01,WED,1,osaka,sparkling_water,20,2400
2020-01-01,WED,1,osaka,sports_drink,46,5980
2020-01-01,WED,1,sendai,apple_juice,36,4320
2020-01-01,WED,1,sendai,beer,24,4800
2020-01-01,WED,1,sendai,coffee,51,10200
2020-01-01,WED,1,sendai,fruit_juice,13,1950
2020-01-01,WED,1,sendai,milk,50,6500
2020-01-01,WED,1,sendai,mineral_water,79,7900
2020-01-01,WED,1,sendai,orange_juice,39,4680
2020-01-01,WED,1,sendai,soy_milk,22,2640
2020-01-01,WED,1,sendai,sparkling_water,19,2280
2020-01-01,WED,1,sendai,sports_drink,36,4680
2020-01-01,WED,1,shinjuku,apple_juice,54,6480
2020-01-01,WED,1,shinjuku,beer,44,8800
2020-01-01,WED,1,shinjuku,coffee,76,15200
2020-01-01,WED,1,shinjuku,fruit_juice,40,6000
2020-01-01,WED,1,shinjuku,milk,90,11700
2020-01-01,WED,1,shinjuku,mineral_water,105,10500
2020-01-01,WED,1,shinjuku,orange_juice,49,5880
2020-01-01,WED,1,shinjuku,soy_milk,42,5040
2020-01-01,WED,1,shinjuku,sparkling_water,23,2760
2020-01-01,WED,1,shinjuku,sports_drink,58,7540
2020-01-01,WED,1,ueno,apple_juice,53,6360
2020-01-01,WED,1,ueno,beer,32,6400
2020-01-01,WED,1,ueno,coffee,58,11600
2020-01-01,WED,1,ueno,fruit_juice,26,3900
2020-01-01,WED,1,ueno,milk,68,8840
2020-01-01,WED,1,ueno,mineral_water,128,12800
2020-01-01,WED,1,ueno,orange_juice,40,4800
2020-01-01,WED,1,ueno,soy_milk,51,6120
2020-01-01,WED,1,ueno,sparkling_water,31,3720
2020-01-01,WED,1,ueno,sports_drink,38,4940
2020-01-01,WED,1,yokohama,apple_juice,42,5040
2020-01-01,WED,1,yokohama,beer,39,7800
2020-01-01,WED,1,yokohama,coffee,82,16400
2020-01-01,WED,1,yokohama,fruit_juice,18,2700
2020-01-01,WED,1,yokohama,milk,79,10270
2020-01-01,WED,1,yokohama,mineral_water,109,10900
2020-01-01,WED,1,yokohama,orange_juice,44,5280
2020-01-01,WED,1,yokohama,soy_milk,39,4680
2020-01-01,WED,1,yokohama,sparkling_water,31,3720
2020-01-01,WED,1,yokohama,sports_drink,43,5590
2020-01-02,THU,1,chiba,apple_juice,28,3360
2020-01-02,THU,1,chiba,beer,20,4000
2020-01-02,THU,1,chiba,coffee,55,11000
2020-01-02,THU,1,chiba,fruit_juice,18,2700
2020-01-02,THU,1,chiba,milk,57,7410
2020-01-02,THU,1,chiba,mineral_water,78,7800
2020-01-02,THU,1,chiba,orange_juice,27,3240
2020-01-02,THU,1,chiba,soy_milk,22,2640
2020-01-02,THU,1,chiba,sparkling_water,14,1680
2020-01-02,THU,1,chiba,sports_drink,34,4420
2020-01-02,THU,1,ginza,apple_juice,49,5880
2020-01-02,THU,1,ginza,beer,46,9200
2020-01-02,THU,1,ginza,coffee,76,15200
2020-01-02,THU,1,ginza,fruit_juice,37,5550
2020-01-02,THU,1,ginza,milk,96,12480
2020-01-02,THU,1,ginza,mineral_water,145,14500
2020-01-02,THU,1,ginza,orange_juice,72,8640
2020-01-02,THU,1,ginza,soy_milk,35,4200
